trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
Anti-anoctamin 2 antibody levels	31375628	2019-08-02	0	0	11936	11936	11936	5
Anti-rubella virus IgG levels	30053915	2018-07-27	0	0	935	935	935	1
Anti-saccade response	29064472	2017-10-24	591	258	0	849	718.3886925795052	1
Anti-sp100 seropositivity in primary biliary cholangitis	30854688	2019-03-10	211	711	0	922	650.8503253796096	2
Anti-thyroid drug induced agranulocytosis	27157822	2016-05-03	38	5170	1	5209	150.89093701996927	4
Antibody level in response to infection	25758998	2015-03-11	0	0	1932	1932	1932	1
Antibody status in Tripanosoma cruzi seropositivity	24324551	2013-11-20	0	0	580	580	580	1
Anticoagulant levels	22216198	2011-12-28	0	0	418	418	418	1
Antineutrophil cytoplasmic antibody-associated vasculitis	22808956	2012-07-19	914	5259	0	6173	3114.677466385874	9
Antineutrophil cytoplasmic antibody-associated vasculitis	28029757	2016-12-28	1221	0	3258	4479	4479	6
Antinuclear antibody levels	25186300	2014-09-03	0	0	3185	3185	3185	1
Antipsychotic drug-induced weight gain	22566560	2012-05-07	0	0	139	139	139	1
Antisaccade task score	31596458	2019-10-09	623	910	0	1533	1479.2694063926942	2
Antithyroid drug-induced agranulocytosis	26599303	2016-01-12	20	775	0	795	77.9874213836478	1
Antitragus size	26105758	2015-06-24	0	0	4919	4919	4919	1
Anxiety	31906708	2020-01-07	0	0	199611	199611	199611	6
Anxiety and stress-related disorders	31116379	2019-05-22	12655	19225	0	31880	30526.019447929735	1
Anxiety and stress-related disorders (excluding adjustment disorder)	31116379	2019-05-22	8517	19225	0	27742	23608.871025881333	1
Anxiety and stress-related disorders (excluding co-morbid schizophrenia)	31116379	2019-05-22	11560	19225	0	30785	28876.530777976284	1
Anxiety and stress-related disorders (including obsessive-compulsive disorder)	31116379	2019-05-22	13533	19225	0	32758	31768.96330667318	1
Anxiety and stress-related disorders (psychiatric co-morbidity covariate model)	31116379	2019-05-22	12096	42215	0	54311	37608.0455156414	1
Anxiety and stress-related disorders (psychiatric co-morbidity weighting design)	31116379	2019-05-22	10311	19225	0	29536	26845.744176598047	1
Anxiety disorder	26754954	2016-01-12	7016	14745	0	21761	19015.839345618308	1
Anxiety disorder (factor score)	26754954	2016-01-12	0	0	18186	18186	18186	1
Anxiety disorder (factor score)	31886626	2019-12-30	0	0	34696	34696	34696	2
Anxiety disorders	31906708	2020-01-07	34189	190141	0	224330	115913.71014130968	2
Anxiety symptoms	31748690	2019-11-20	19012	58113	0	77125	57301.49010048623	1
Anxiety/tension (special factor of neuroticism)	30867560	2019-03-13	0	0	270059	270059	270059	20
Aortic coarctation	29590334	2018-03-24	39	140661	0	140700	155.95675906183368	1
Aortic root size	19584346	2009-07-08	0	0	12612	12612	12612	4
Aortic root size	21223598	2011-01-11	0	0	1086	1086	1086	1
Aortic root size	28394258	2017-04-10	0	0	30201	30201	30201	8
Aortic stiffness	22068335	2011-11-08	0	0	24850	24850	24850	1
Aortic valve stenosis	29511194	2018-03-07	2457	0	349342	351799	351799	3
Aortic valve stenosis	32186652	2020-03-18	3469	41234	0	44703	12799.207748920653	1
Aortic-valve calcification	23388002	2013-02-17	0	0	6942	6942	6942	1
Apolipoprotein A-IV levels	27412012	2016-07-12	0	0	13813	13813	13813	2
Apolipoprotein A1 levels	29084231	2017-10-30	0	0	8372	8372	8372	12
Apolipoprotein B levels	29084231	2017-10-30	0	0	8372	8372	8372	5
Apolipoprotein Levels	23031429	2012-10-03	0	0	1720	1720	1720	3
Appendicitis	30392061	2018-11-03	18773	114907	0	133680	64546.65203470976	1
Appendicular lean mass	28724990	2017-07-19	0	0	28330	28330	28330	3
Appendicular lean mass	31761296	2019-11-21	0	0	181862	181862	181862	573
Arsenic metabolism	22383894	2012-02-23	0	0	1313	1313	1313	2
Arsenic metabolism	27352405	2016-06-28	0	0	2428	2428	2428	4
Arterial stiffness	20031579	2009-04-01	0	0	4221	4221	4221	1
Arterial stiffness	31070453	2019-04-11	0	0	131686	131686	131686	2
Arterial stiffness index	31235810	2019-06-24	0	0	127121	127121	127121	4
Arthritis (juvenile idiopathic)	18576341	2008-06-24	130	1952	0	2082	487.5312199807876	1
Arthritis (juvenile idiopathic)	27005825	2016-03-22	388	2500	0	2888	1343.4903047091411	1
Asparaginase hypersensitivity in acute lymphoblastic leukemia	25987655	2015-05-18	3126	0	0	3126	3126	1
Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	27114598	2016-04-25	0	0	5185	5185	5185	3
Aspartate aminotransferase levels	21900944	2011-09-08	0	0	866	866	866	1
Aspartate aminotransferase levels	29403010	2018-02-05	0	0	134154	134154	134154	28
Aspartate aminotransferase levels	30718733	2019-02-04	0	0	6949	6949	6949	4
Aspartate aminotransferase levels	31219225	2019-06-20	0	0	3644	3644	3644	2
Aspartate aminotransferase levels in low alcohol consumption	30589442	2018-12-27	0	0	8716	8716	8716	1
Aspartate aminotransferase levels in non-alcoholic fatty liver disease	31311600	2019-07-17	0	0	1075	1075	1075	1
Aspirin hydrolysis (plasma)	23508960	2013-03-18	0	0	2054	2054	2054	1
Asthma	17611496	2007-07-26	994	1243	0	2237	2209.2838623156013	1
Asthma	19426955	2009-05-07	359	846	0	1205	1008.1792531120333	1
Asthma	20032318	2009-12-23	793	1988	0	2781	2267.5066522833513	2
Asthma	20860503	2010-09-23	10365	16110	0	26475	25228.351274787536	6
Asthma	21804548	2011-07-31	1532	3304	0	4836	4186.706368899917	13
Asthma	21804549	2011-07-31	5388	0	0	5388	5388	5
Asthma	21814517	2011-07-21	938	2376	0	3314	2690.0277610138805	2
Asthma	21907864	2011-09-10	12475	19967	0	32442	30711.833425806053	2
Asthma	22561531	2012-05-05	933	3346	0	4279	2918.268754381865	1
Asthma	23028483	2012-09-28	1716	16888	0	18604	6230.876800688024	2
Asthma	23181788	2012-12-04	1238	2617	0	3855	3361.7079118028532	1
Asthma	27182965	2016-05-16	28399	128843	0	157242	93079.77148598975	27
Asthma	27611488	2016-09-09	3091	18553	0	21644	10598.28552947699	6
Asthma	28461288	2017-05-01	2144	2893	0	5037	4925.623982529283	3
Asthma	29273806	2017-12-22	23948	118538	0	142486	79691.98444759485	40
Asthma	29785011	2018-05-21	14085	76768	0	90853	47605.572958515404	6
Asthma	30929738	2019-03-28	40544	300671	0	341215	142905.851430916	140
Asthma	31361310	2019-07-30	41926	239773	0	281699	142744.17442731425	101
Asthma	31619474	2019-10-17	46802	347481	0	394283	164986.121765331	130
Asthma	31959851	2020-01-20	69189	702199	0	771388	251932.6025865064	85
Asthma	32296059	2020-04-15	88486	447859	0	536345	295550.4496098593	312
Asthma (adult onset)	30929738	2019-03-28	26582	300671	0	327253	97691.2238787727	40
Asthma (adult onset)	31036433	2019-04-26	21564	318237	0	339801	80782.13622679157	20
Asthma (adult onset)	31669095	2019-10-24	33418	393186	0	426604	123200.81150669006	77
Asthma (age of onset)	31036433	2019-04-26	0	0	37846	37846	37846	22
Asthma (childhood onset)	22560479	2012-05-02	0	0	573	573	573	2
Asthma (childhood onset)	23829686	2013-07-05	0	0	429	429	429	3
Asthma (childhood onset)	24241537	2013-11-17	1173	2511	0	3684	3198.048859934853	4
Asthma (childhood onset)	29273806	2017-12-22	8976	18399	0	27375	24131.422684931506	5
Asthma (childhood onset)	30929738	2019-03-28	13962	300671	0	314633	53369.71648873449	98
Asthma (childhood onset)	31036433	2019-04-26	9433	318237	0	327670	36645.767033906064	60
Asthma (childhood onset)	31669095	2019-10-24	13435	393186	0	406621	51964.39839555754	219
Asthma (corticosteroid response)	24486069	2014-01-31	0	0	124	124	124	1
Asthma (moderate or severe)	30552067	2018-12-11	5135	25675	0	30810	17116.666666666668	25
Asthma (time to childhood onset) x early life tobacco smoke interaction	31379025	2019-08-04	0	0	8273	8273	8273	1
Asthma (time to onset)	27130862	2016-04-06	5462	8424	0	13886	13254.180613567622	6
Asthma and anxiety disorder	31619474	2019-10-17	52512	359081	0	411593	183249.5836615297	1
Asthma and attention deficit hyperactivity disorder	31619474	2019-10-17	65901	381675	0	447576	224791.00018767765	7
Asthma and hay fever	24388013	2013-12-30	6685	14091	0	20776	18135.990566037734	10
Asthma and major depressive disorder	31619474	2019-10-17	106653	460635	0	567288	346406.79623048607	10
Asthma onset (childhood vs adult)	30929738	2019-03-28	28835	0	0	28835	28835	32
Asthma or allergic disease (pleiotropy)	29785011	2018-05-21	39770	76768	0	116538	104792.02869450308	38
Asthma x Hispanic interaction (2df)	30456811	2018-11-19	1249	1751	0	3000	2915.998666666667	1
Asthma x air pollution interaction (2df)	30456811	2018-11-19	1249	1751	0	3000	2915.998666666667	1
Asymmetrical dimethylarginine levels	24159190	2013-10-24	0	0	5110	5110	5110	1
Asymmetrical dimethylarginine levels	25245031	2014-09-21	0	0	6734	6734	6734	1
Atazanavir levels	29315502	2018-01-09	0	0	398	398	398	1
Atopic asthma	31669095	2019-10-24	23982	393169	0	417151	90413.10180725924	198
Atopic dermatitis	19349984	2009-04-06	939	975	1367	3281	1913.3228840125391	1
Atopic dermatitis	21666691	2011-06-13	1012	1362	0	2374	2322.3993260320135	1
Atopic dermatitis	22197932	2011-12-25	5606	20565	0	26171	17620.631997248864	3
Atopic dermatitis	23042114	2012-10-07	1472	7971	0	9443	4970.162871968654	10
Atopic dermatitis	23886662	2013-07-25	1563	4054	0	5617	4512.303364785473	4
Atopic dermatitis	25574825	2015-01-08	2079	3867	0	5946	5408.3370332996965	4
Atopic dermatitis	25865352	2015-04-10	870	5293	0	6163	2988.7457407106926	3
Atopic dermatitis	26482879	2015-10-19	21399	95464	0	116863	69922.35818009122	29
Atopic march	26542096	2015-11-06	1151	10030	0	11181	4130.052768088722	7
Atopy	28927820	2017-09-16	925	735	0	1660	1638.2530120481929	1
Atrial fibrillation	19597491	2009-07-13	2385	33752	0	36137	8910.371087804744	2
Atrial fibrillation	19597492	2009-07-13	3413	0	37105	40518	40518	2
Atrial fibrillation	20173747	2010-02-21	1335	12844	0	14179	4837.221242682841	2
Atrial fibrillation	22544366	2012-04-29	6707	52426	0	59133	23785.106928449426	9
Atrial fibrillation	28416818	2017-04-17	20815	111303	758	132876	70142.50730407666	37
Atrial fibrillation	28416822	2017-04-17	8180	28612	0	36792	25445.331593824747	16
Atrial fibrillation	29237688	2017-12-01	2987	117299	0	120286	11651.301498096203	2
Atrial fibrillation	29290336	2018-01-04	6337	61607	0	67944	22983.84310608737	8
Atrial fibrillation	29892015	2018-06-11	65446	522744	0	588190	232656.1405260205	213
Atrial fibrillation	30061737	2018-07-30	60620	970216	0	1030836	228220.5662976458	142
Atrial fibrillation/atrial flutter	17603472	2007-07-01	550	4476	0	5026	1959.2518901711103	2
Attention deficit hyperactivity disorder	18839057	2008-10-07	343	304	0	647	644.6491499227203	2
Attention deficit hyperactivity disorder	23728934	2013-05-31	1040	963	0	2003	2000.0399400898652	1
Attention deficit hyperactivity disorder	29325848	2017-12-02	19099	34194	0	53293	49017.40986621132	3
Attention deficit hyperactivity disorder	30478444	2018-11-26	20183	35191	0	55374	51306.385885072414	8
Attention deficit hyperactivity disorder	30563984	2018-12-18	480	1208	0	1688	1374.0284360189573	1
Attention deficit hyperactivity disorder or amygdala volume (pleiotropy)	30818988	2019-03-01	20183	35191	11757	67131	51306.385885072414	1
Attention deficit hyperactivity disorder or cannabis use	30610198	2019-01-04	32719	50410	0	83129	79364.11071948418	16
Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	30818988	2019-03-01	20183	35191	11772	67146	51306.385885072414	1
Attention deficit hyperactivity disorder or intracranial volume (pleiotropy)	30818988	2019-03-01	20183	35191	24024	79398	51306.385885072414	3
Attention deficit hyperactivity disorder or putamen volume (pleiotropy)	30818988	2019-03-01	20183	35191	11646	67020	51306.385885072414	2
Attention function	29907492	2018-06-12	127	136	0	263	262.6920152091255	1
Autism	19404256	2009-04-28	1204	6491	3881	11576	4062.4634178037686	1
Autism	20663923	2010-07-27	0	1880	2754	4634	4634	1
Autism	24189344	2013-11-05	136	984	1100	2220	477.9428571428571	4
Autism and educational attainment (MTAG)	30804558	2019-02-25	18381	27969	328917	375267	44366.618252427186	3
Autism and major depressive disorder (MTAG)	30804558	2019-02-25	130283	340082	0	470365	376787.4157813613	6
Autism spectrum disorder	30804558	2019-02-25	18381	27969	0	46350	44366.618252427186	4
Autism spectrum disorder or schizophrenia	28540026	2017-05-22	7387	8567	0	15954	15866.724081734987	301
Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	23453885	2013-02-27	33332	27888	0	61220	60735.89127736035	17
Autism spectrum disorder-related traits	25534755	2014-09-30	0	0	2575	2575	2575	1
Autoimmune hepatitis in primary sclerosing cholangitis	28779025	2017-08-04	107	3159	0	3266	413.97795468462954	2
Autoimmune hepatitis type-1	24768677	2014-04-23	649	13436	0	14085	2476.383102591409	1
Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	22922229	2012-12-01	2733	9364	0	12097	8462.201206910804	4
Autoimmune traits	30595370	2018-12-27	0	0	459000	459000	459000	75
Autoimmune traits (pleiotropy)	30572963	2018-12-20	0	22308	37160	59468	59468	38
Automobile speeding propensity	30643258	2019-01-14	0	0	404291	404291	404291	42
Axial length	24144296	2013-08-08	0	0	12531	12531	12531	5
Axial length	25823570	2015-03-31	0	0	3248	3248	3248	1
B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)	29296818	2017-09-08	333	3027	0	3360	1199.9892857142856	2
B cell acute lymphoblastic leukaemia (hyperdiploid negative)	29296818	2017-09-08	410	3027	0	3437	1444.364271166715	1
B cell acute lymphoblastic leukaemia (normal cytogenetics)	29296818	2017-09-08	193	3027	0	3220	725.727950310559	3
B cell non-Hodgkin lymphoma	23749188	2013-06-09	253	1438	0	1691	860.5890005913661	1
B-cell acute lymphoblastic leukaemia	31767839	2019-11-25	5321	16666	0	21987	16133.130668122072	9
B-cell acute lymphoblastic leukaemia (ETV6-RUNX1 positive)	31767839	2019-11-25	936	16666	0	17602	3544.9098966026586	1
B-cell acute lymphoblastic leukaemia (high-hyperdiploidy)	31767839	2019-11-25	1369	16666	0	18035	5060.328028832825	1
B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)	28112199	2017-01-23	7097	7324	0	14421	14417.426808127037	9
B-type natriuretic peptide levels	25561047	2015-01-05	0	0	2790	2790	2790	2
B-type natriuretic peptide levels	29237677	2017-12-01	0	0	4932	4932	4932	1
B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio	29237677	2017-12-01	0	0	4932	4932	4932	3
B6 vitamer levels (multivariate analysis)	30583557	2018-12-22	0	0	493	493	493	1
BMI (adjusted for smoking behaviour)	28443625	2017-04-26	0	0	196760	196760	196760	79
BMI (smoking interaction)	28443625	2017-04-26	0	0	196760	196760	196760	1
BMI at 1 year old	31575865	2019-10-01	0	0	6970	6970	6970	3
BMI at 1.5 years old	31575865	2019-10-01	0	0	6800	6800	6800	4
BMI at 2 years old	31575865	2019-10-01	0	0	4631	4631	4631	1
BMI at 3 months old	31575865	2019-10-01	0	0	7970	7970	7970	1
BMI at 6 months old	31575865	2019-10-01	0	0	8017	8017	8017	2
BMI at 7 years old	31575865	2019-10-01	0	0	4629	4629	4629	1
BMI at 8 months old	31575865	2019-10-01	0	0	7197	7197	7197	2
BMI at adiposity peak	31840077	2019-09-04	0	0	6219	6219	6219	1
BMI at adiposity rebound	31840077	2019-09-04	0	0	6051	6051	6051	1
BMI in non-smokers	28443625	2017-04-26	0	0	153041	153041	153041	55
BMI in smokers	28443625	2017-04-26	0	0	42543	42543	42543	14
BRCA1/2-negative high-risk breast cancer	30323354	2018-10-15	1469	5979	0	7448	4717.05209452202	5
Bacterial meningitis	28928442	2017-09-19	842	82778	0	83620	3334.0863908155943	1
Bacterial meningitis	31092817	2019-05-15	2345	345042	0	347387	9316.681280531511	1
Balding	26926045	2016-03-01	0	0	6357	6357	6357	2
Balding type 1	30595370	2018-12-27	0	0	208000	208000	208000	338
Barrett's esophagus	22961001	2012-09-09	1852	5172	0	7024	5454.751708428246	2
Barrett's esophagus	27527254	2016-08-12	6167	17159	0	23326	18146.197890765667	5
Barrett's esophagus  or Esophageal adenocarcinoma	27527254	2016-08-12	10279	17159	0	27438	25712.859683650415	14
Barrett's esophagus  or Esophageal adenocarcinoma	31527586	2019-09-16	13678	19247	0	32925	31983.048261199703	1
Basal cell carcinoma	18849993	2008-10-12	930	33117	0	34047	3618.3875231297916	2
Basal cell carcinoma	19151717	2009-01-18	1505	28890	0	30395	5721.921368646158	1
Basal cell carcinoma	21700618	2011-06-23	2045	6013	0	8058	6104.038222884091	3
Basal cell carcinoma	21946351	2011-09-25	2121	39614	0	41735	8052.8375703845695	1
Basal cell carcinoma	24403052	2014-01-08	4208	109408	0	113616	16208.592592592591	10
Basal cell carcinoma	25855136	2015-04-09	4572	266358	0	270930	17979.386203078288	13
Basal cell carcinoma	27539887	2016-08-19	0	274252	0	274252	274252	32
Basal cell carcinoma	28177523	2017-02-22	17187	287054	0	304241	64864.32923899146	1
Basal cell carcinoma	31174203	2019-06-07	31787	619351	0	651138	120940.93870730934	71
Basal metabolic rate	31453325	2019-08-14	0	0	341584	341584	341584	5
Basal metabolic rate variance	31453325	2019-08-14	0	0	341584	341584	341584	5
Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma	29551627	2018-03-15	407	0	0	407	407	1
Basophil percentage of granulocytes	27863252	2016-11-17	0	0	170223	170223	170223	62
Basophil percentage of white cells	27863252	2016-11-17	0	0	171996	171996	171996	65
Beard thickness	26926045	2016-03-01	0	0	2922	2922	2922	4
Behcet's disease	20622878	2010-07-11	1215	1278	0	2493	2491.407942238267	2
Behcet's disease	20622879	2010-07-11	611	737	0	1348	1336.2225519287833	2
Behcet's disease	23001997	2012-12-06	147	951	0	1098	509.2786885245902	6
Behcet's disease	23291587	2013-01-06	1215	1278	0	2493	2491.407942238267	5
Behcet's disease	24326010	2013-12-10	292	294	0	586	585.9931740614335	2
Behcet's disease	25799145	2015-03-23	330	5843	6	6179	1249.4346346994978	1
Behcet's disease	27548383	2016-08-22	278	1517	0	1795	939.7793871866295	3
Benign prostatic hyperplasia and lower urinary tract symptoms	30410027	2018-11-08	20621	280541	0	301162	76836.20059635678	20
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)	30410027	2018-11-08	18138	277213	0	295351	68096.46006277276	19
